"month","avg_wt","sum_wt","nobs"
2018-04-01,2736.00028815858,191243684.141997,69899
2018-05-01,2782.94201993447,191160287.349299,68690
2018-06-01,2812.52110770404,191150184.563997,67964
2018-07-01,2836.6260833385,191225474.156098,67413
2018-08-01,2778.05734374542,191366480.123903,68885
2018-09-01,2775.49469072577,191592398.5008,69030
2018-10-01,2766.35262075409,192087226.927301,69437
2018-11-01,2817.79179955752,192314290.319801,68250
2018-12-01,2854.45638887189,192176276.3808,67325
2019-01-01,2863.6120507958,191776099.041795,66970
2019-02-01,2901.13222144119,191837368.142799,66125
2019-03-01,2896.53430759254,192274843.8723,66381
2019-04-01,2902.01240201687,192226399.497195,66239
2019-05-01,2945.45864635706,192350231.441701,65304
2019-06-01,2958.77578122914,192145858.008802,64941
2019-07-01,2948.59205168888,192310122.2032,65221
2019-08-01,2896.30810557842,192468362.540003,66453
2019-09-01,2907.69398641258,192556218.862201,66223
2019-10-01,2884.00255152843,193127230.863101,66965
2019-11-01,2904.02404484358,193201815.679398,66529
2019-12-01,2946.94162716093,185946122.7906,63098
2020-01-01,2937.37863740093,192692038.613501,65600
2020-02-01,3116.78528329328,193181468.643801,61981
2020-03-01,3397.82901036059,193462190.362901,56937
2020-04-01,3505.25718666247,192981934.411702,55055
2020-05-01,3727.5547181439,193199161.041398,51830
2020-06-01,3881.96229719086,192914116.3589,49695
2020-07-01,3685.28245173306,193079318.211199,52392
2020-08-01,3487.12317087045,193165700.927197,55394
2020-09-01,3133.33510056645,193032242.205497,61606
2020-10-01,3071.38434688581,193948707.352798,63147
2020-11-01,3163.78206383705,194325821.924999,61422
2020-12-01,3226.61400436018,194106645.2743,60158
2021-01-01,3184.01408268264,193680392.635502,60829
2021-02-01,3242.25094011703,193935239.9831,59815
2021-03-01,3233.7357112839,194014441.4699,59997
2021-04-01,3161.89517623313,193783069.6658,61287
2021-05-01,3249.61976216487,193791074.516702,59635
2021-06-01,3381.71310598675,193863467.226902,57327
2021-07-01,3324.18661366316,193906453.5482,58332
2021-08-01,3388.13190791215,194197556.565801,57317
2021-09-01,3393.94169065777,194394798.215805,57277
2021-10-01,3404.57197426219,194819822.083205,57223
2021-11-01,3491.31358513183,194899089.576399,55824
2021-12-01,3495.06824774579,194657826.058202,55695
2022-01-01,3463.38947096529,195411360.730804,56422
2022-02-01,3509.03588325767,195590151.096899,55739
2022-03-01,3517.50836599202,195682507.908502,55631
2022-04-01,3390.86815123764,195625965.381202,57692
